Alloy Symbol,deltaE *CO,Filling,Center,Width,Skewness,Kurtosis,Work function,Atomic radius,Spatial extent,Ionization potential,Electron affinity,Pauling electronegativity,Local Pauling electronegativity,Vad2 
Pd3Ni@Pd ,-1.17,0.92,-1.82,1.43,0.35,3.86,5.9,1.52,0.94,8.34,0.56,2.2,2.13,2.78
Pd3Cu@Pd ,-1.15,0.92,-1.72,1.4,0.31,3.95,5.9,1.52,0.94,8.34,0.56,2.2,2.13,2.78
Pd3Zn@Pd ,-1.04,0.93,-1.77,1.38,0.16,4.96,5.9,1.52,0.94,8.34,0.56,2.2,2.06,2.78
Pd3Ga@Pd ,-1.15,0.93,-1.85,1.48,0.06,6.81,5.9,1.52,0.94,8.34,0.56,2.2,2.11,2.78
Pd3Ge@Pd ,-1.01,0.93,-1.99,1.58,-0.16,6.31,5.9,1.52,0.94,8.34,0.56,2.2,2.16,2.78
Pd3Y@Pd ,-0.82,0.93,-1.51,1.31,1.45,7.46,5.9,1.52,0.94,8.34,0.56,2.2,1.93,2.78
Pd3Zr@Pd ,-0.89,0.93,-2.17,1.51,1.09,5.32,5.9,1.52,0.94,8.34,0.56,2.2,1.97,2.78
Pd3Nb@Pd ,-0.8,0.92,-2.59,1.58,0.87,4.56,5.9,1.52,0.94,8.34,0.56,2.2,2.05,2.78
Pd3Mo@Pd ,-0.94,0.92,-2.36,1.56,0.64,4.07,5.9,1.52,0.94,8.34,0.56,2.2,2.19,2.78
Pd3Rh@Pd ,-1.24,0.92,-1.82,1.41,0.32,3.84,5.9,1.52,0.94,8.34,0.56,2.2,2.22,2.78
Pd3Pd@Pd ,-1.28,0.92,-1.67,1.36,0.23,3.93,5.9,1.52,0.94,8.34,0.56,2.2,2.2,2.78
Pd3Ag@Pd ,-1.24,0.93,-1.53,1.29,0.15,4.68,5.9,1.52,0.94,8.34,0.56,2.2,2.14,2.78
Pd3In@Pd ,-1.14,0.93,-1.66,1.39,-0.47,13.27,5.9,1.52,0.94,8.34,0.56,2.2,2.1,2.78
Pd3Sn@Pd ,-1.02,0.93,-1.79,1.43,0.11,6.88,5.9,1.52,0.94,8.34,0.56,2.2,2.14,2.78
Pd3La@Pd ,-0.8,0.93,-1.48,1.25,1.59,8.21,5.9,1.52,0.94,8.34,0.56,2.2,1.89,2.78
Pd3Ta@Pd ,-0.76,0.91,-2.76,1.67,0.92,4.73,5.9,1.52,0.94,8.34,0.56,2.2,2.02,2.78
Pd3W@Pd ,-0.83,0.91,-2.67,1.68,0.71,4.16,5.9,1.52,0.94,8.34,0.56,2.2,2.23,2.78
Pd3Re@Pd ,-0.93,0.92,-2.45,1.65,0.47,3.74,5.9,1.52,0.94,8.34,0.56,2.2,2.13,2.78
Pd3Os@Pd ,-1.08,0.92,-2.2,1.59,0.32,3.61,5.9,1.52,0.94,8.34,0.56,2.2,2.2,2.78
Pd3Ir@Pd ,-1.2,0.92,-1.93,1.5,0.2,3.75,5.9,1.52,0.94,8.34,0.56,2.2,2.2,2.78
Pd3Pt@Pd ,-1.31,0.92,-1.72,1.42,0.13,3.96,5.9,1.52,0.94,8.34,0.56,2.2,2.22,2.78
Pd3Au@Pd ,-1.34,0.93,-1.54,1.35,0.02,4.63,5.9,1.52,0.94,8.34,0.56,2.2,2.27,2.78
Pd3Tl@Pd ,-1.23,0.93,-1.57,1.37,-0.62,12.3,5.9,1.52,0.94,8.34,0.56,2.2,2.06,2.78
Pd3Pb@Pd ,-1.04,0.93,-1.59,1.33,-0.11,9.09,5.9,1.52,0.94,8.34,0.56,2.2,2.23,2.78
Pd3Bi@Pd ,-0.99,0.94,-1.86,1.42,-0.57,11.88,5.9,1.52,0.94,8.34,0.56,2.2,2.16,2.78
Pt3Sc@Pt ,-1.23,0.89,-2,1.83,0.69,4.14,6.74,1.53,1.04,9,2.13,2.28,2.03,3.9
Pt3Ti@Pt ,-1.31,0.89,-2.45,1.96,0.56,3.62,6.74,1.53,1.04,9,2.13,2.28,2.09,3.9
Pt3V@Pt ,-1.37,0.88,-2.47,1.98,0.47,3.49,6.74,1.53,1.04,9,2.13,2.28,2.12,3.9
Pt3Cr@Pt ,-1.39,0.88,-2.23,1.92,0.41,3.58,6.74,1.53,1.04,9,2.13,2.28,2.12,3.9
Pt3Co@Pt ,-1.44,0.88,-2.25,1.95,0.28,3.46,6.74,1.53,1.04,9,2.13,2.28,2.18,3.9
Pt3Ni@Pt ,-1.51,0.88,-2.16,1.91,0.28,3.5,6.74,1.53,1.04,9,2.13,2.28,2.19,3.9
Pt3Cu@Pt ,-1.44,0.88,-2.03,1.88,0.26,3.61,6.74,1.53,1.04,9,2.13,2.28,2.19,3.9
Pt3Zn@Pt ,-1.38,0.89,-2.03,1.86,0.21,4.1,6.74,1.53,1.04,9,2.13,2.28,2.12,3.9
Pt3Ga@Pt ,-1.48,0.89,-2.12,1.95,0.15,4.66,6.74,1.53,1.04,9,2.13,2.28,2.17,3.9
Pt3Ge@Pt ,-1.52,0.89,-2.29,2.01,0.03,4.67,6.74,1.53,1.04,9,2.13,2.28,2.22,3.9
Pt3Y@Pt ,-1.24,0.89,-1.71,1.68,0.91,5.1,6.74,1.53,1.04,9,2.13,2.28,1.98,3.9
Pt3Zr@Pt ,-1.33,0.89,-2.19,1.89,0.72,3.97,6.74,1.53,1.04,9,2.13,2.28,2.02,3.9
Pt3Nb@Pt ,-1.2,0.88,-2.59,2.01,0.61,3.61,6.74,1.53,1.04,9,2.13,2.28,2.11,3.9
Pt3Mo@Pt ,-1.32,0.88,-2.55,2,0.48,3.41,6.74,1.53,1.04,9,2.13,2.28,2.25,3.9
Pt3Ru@Pt ,-1.57,0.88,-2.22,1.91,0.28,3.39,6.74,1.53,1.04,9,2.13,2.28,2.26,3.9
Pt3Rh@Pt ,-1.61,0.88,-2.12,1.87,0.25,3.5,6.74,1.53,1.04,9,2.13,2.28,2.28,3.9
Pt3Pd@Pt ,-1.65,0.88,-1.97,1.81,0.22,3.6,6.74,1.53,1.04,9,2.13,2.28,2.26,3.9
Pt3Ag@Pt ,-1.58,0.89,-1.79,1.74,0.18,4.01,6.74,1.53,1.04,9,2.13,2.28,2.2,3.9
Pt3In@Pt ,-1.45,0.89,-1.89,1.81,-0.17,7.59,6.74,1.53,1.04,9,2.13,2.28,2.16,3.9
Pt3Sn@Pt ,-1.43,0.9,-2,1.82,0.14,4.85,6.74,1.53,1.04,9,2.13,2.28,2.2,3.9
Pt3La@Pt ,-1.25,0.9,-1.56,1.54,0.96,5.53,6.74,1.53,1.04,9,2.13,2.28,1.94,3.9
Pt3Ta@Pt ,-1.15,0.88,-2.73,2.11,0.66,3.67,6.74,1.53,1.04,9,2.13,2.28,2.08,3.9
Pt3W@Pt ,-1.18,0.87,-2.72,2.13,0.51,3.38,6.74,1.53,1.04,9,2.13,2.28,2.3,3.9
Pt3Re@Pt ,-1.38,0.87,-2.58,2.1,0.35,3.26,6.74,1.53,1.04,9,2.13,2.28,2.19,3.9
Pt3Os@Pt ,-1.51,0.88,-2.4,2.03,0.27,3.33,6.74,1.53,1.04,9,2.13,2.28,2.26,3.9
Pt3Ir@Pt ,-1.62,0.88,-2.18,1.95,0.2,3.47,6.74,1.53,1.04,9,2.13,2.28,2.26,3.9
Pt3Pt@Pt ,-1.7,0.88,-2.03,1.87,0.17,3.65,6.74,1.53,1.04,9,2.13,2.28,2.28,3.9
Pt3Au@Pt ,-1.72,0.89,-1.8,1.77,0.13,4.01,6.74,1.53,1.04,9,2.13,2.28,2.34,3.9
Pt3Tl@Pt ,-1.56,0.89,-1.77,1.76,-0.3,7.25,6.74,1.53,1.04,9,2.13,2.28,2.11,3.9
Pt3Pb@Pt ,-1.43,0.9,-1.81,1.69,0.02,5.88,6.74,1.53,1.04,9,2.13,2.28,2.29,3.9
Pt3Bi@Pt ,-1.46,0.9,-1.91,1.73,-0.22,7.63,6.74,1.53,1.04,9,2.13,2.28,2.22,3.9
